Date,Livepeer (#),Chainlink (#),Worldcoin (#),The Graph (#),Ethereum Name Service (#),Gitcoin (#),Render Network (#),UMA (#),Aragon (#),Kleros (#),Tornado Cash (#),Bounce Finance (#),Arkham (#),Instadapp (#)
2021-08-01,2533379.00,569424.00,,72280.00,,18107.00,4424.00,15296.00,10072.00,9015.00,6837.00,2186.00,,2981.00
2021-08-02,2533366.00,570504.00,,72280.00,,18089.00,4435.00,15311.00,10092.00,9029.00,6832.00,2185.00,,2981.00
2021-08-03,2533340.00,571458.00,,72436.00,,18091.00,4419.00,15322.00,10109.00,9040.00,6842.00,2184.00,,3008.00
2021-08-04,2533321.00,572288.00,,72537.00,,18084.00,4445.00,15293.00,10120.00,9047.00,6851.00,2192.00,,3020.00
2021-08-05,2533310.00,572949.00,,72633.00,,18079.00,4450.00,15261.00,10131.00,9054.00,6854.00,2198.00,,3072.00
2021-08-06,2533297.00,573637.00,,72720.00,,18101.00,4456.00,15279.00,10144.00,9058.00,6867.00,2198.00,,3171.00
2021-08-07,2533295.00,574533.00,,72844.00,,18281.00,4455.00,15299.00,10158.00,9079.00,6905.00,2201.00,,3216.00
2021-08-08,2533278.00,575187.00,,72951.00,,18276.00,4456.00,15310.00,10165.00,9082.00,6944.00,2194.00,,3232.00
2021-08-09,2533258.00,576012.00,,73059.00,,18268.00,4469.00,15318.00,10177.00,9087.00,6953.00,2196.00,,3242.00
2021-08-10,2533234.00,575944.00,,73252.00,,18278.00,4480.00,15343.00,10186.00,9089.00,6945.00,2194.00,,3272.00
2021-08-11,2533215.00,576388.00,,73461.00,,18267.00,4489.00,15373.00,10203.00,9083.00,6943.00,2212.00,,3288.00
2021-08-12,2533191.00,576970.00,,73647.00,,18280.00,4508.00,15363.00,10205.00,9077.00,6943.00,2197.00,,3323.00
2021-08-13,2533164.00,577669.00,,73821.00,,18340.00,4534.00,15380.00,10222.00,9073.00,6948.00,2202.00,,3348.00
2021-08-14,2533130.00,578203.00,,73927.00,,18327.00,4548.00,15393.00,10236.00,9067.00,6956.00,2200.00,,3364.00
2021-08-15,2533120.00,578732.00,,74065.00,,18340.00,4557.00,15402.00,10251.00,9061.00,6956.00,2198.00,,3359.00
2021-08-16,2533116.00,578621.00,,74238.00,,18336.00,4598.00,15425.00,10260.00,9058.00,6971.00,2204.00,,3387.00
2021-08-17,2533090.00,579289.00,,74437.00,,18310.00,4596.00,15420.00,10274.00,9056.00,6982.00,2202.00,,3403.00
2021-08-18,2533057.00,579879.00,,74637.00,,18326.00,4676.00,15432.00,10299.00,9055.00,6993.00,2201.00,,3407.00
2021-08-19,2533023.00,577497.00,,74750.00,,18328.00,4679.00,15451.00,10316.00,9048.00,7001.00,2212.00,,3431.00
2021-08-20,2532925.00,578096.00,,75081.00,,18325.00,4710.00,15477.00,10343.00,9047.00,7000.00,2216.00,,3486.00
2021-08-21,2532850.00,578616.00,,75310.00,,18337.00,4723.00,15531.00,10381.00,9051.00,7000.00,2211.00,,3503.00
2021-08-22,2532746.00,579216.00,,75508.00,,18325.00,4792.00,15569.00,10383.00,9045.00,7004.00,2214.00,,3507.00
2021-08-23,2532733.00,580228.00,,75711.00,,18333.00,4804.00,15571.00,10392.00,9044.00,7018.00,2220.00,,3542.00
2021-08-24,2532681.00,580941.00,,75879.00,,18325.00,4820.00,15584.00,10397.00,9052.00,7026.00,2221.00,,3548.00
2021-08-25,2532675.00,581079.00,,76065.00,,18346.00,4828.00,15595.00,10405.00,9046.00,7043.00,2217.00,,3559.00
2021-08-26,2532650.00,581519.00,,76212.00,,18310.00,4814.00,15608.00,10416.00,9045.00,7063.00,2222.00,,3557.00
2021-08-27,2532624.00,582244.00,,76406.00,,18308.00,4814.00,15631.00,10429.00,9043.00,7053.00,2223.00,,3563.00
2021-08-28,2532578.00,582623.00,,76555.00,,18333.00,4814.00,15634.00,10433.00,9047.00,6918.00,2217.00,,3579.00
2021-08-29,2532549.00,581121.00,,76675.00,,18309.00,4819.00,15650.00,10445.00,9046.00,6927.00,2225.00,,3577.00
2021-08-30,2532529.00,580362.00,,76812.00,,18315.00,4816.00,15656.00,10435.00,9041.00,6940.00,2224.00,,3579.00
2021-08-31,2532518.00,581092.00,,76927.00,,18315.00,4901.00,15669.00,10453.00,9042.00,6951.00,2221.00,,3587.00
2021-09-01,2532514.00,582034.00,,77076.00,,18312.00,4950.00,15683.00,10453.00,9047.00,6971.00,2217.00,,3602.00
2021-09-02,2532525.00,583376.00,,77264.00,,18316.00,4955.00,15692.00,10464.00,9045.00,6971.00,2216.00,,3616.00
2021-09-03,2532523.00,584368.00,,77403.00,,18314.00,4964.00,15699.00,10509.00,9042.00,6981.00,2216.00,,3626.00
2021-09-04,2532519.00,584848.00,,77524.00,,18303.00,4950.00,15709.00,10524.00,9046.00,6986.00,2216.00,,3635.00
2021-09-05,2532499.00,585751.00,,77681.00,,18303.00,4947.00,15731.00,10531.00,9038.00,6996.00,2215.00,,3642.00
2021-09-06,2532496.00,586985.00,,77992.00,,18301.00,4944.00,15747.00,10546.00,9031.00,6996.00,2211.00,,3653.00
2021-09-07,2532488.00,588171.00,,78223.00,,18311.00,4944.00,15754.00,10546.00,9031.00,6999.00,2216.00,,3671.00
2021-09-08,2532491.00,589188.00,,78381.00,,18313.00,4950.00,15777.00,10557.00,9026.00,7008.00,2236.00,,3666.00
